()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>85</BIN><BGM>BGM_23S_Crossroads_Warrior</BGM>:グリフィン基地。+会議室の中、メモリーカードの中に入っていたデータが、スクリーンに映し出されていた。+同じ会議室に、指揮官、カリーナ、タブクとPM5の4人もいた。
()||<黑点1>:講壇の上で、Px4ストームはデータの内容を解説していた。
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>432</BIN><SE1>AVG_Button_Click</SE1>:これがケレスパン工房の原料仕入れ先リストです。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:その内の一つ、タニアス農場の土質検査報告がこれです。重金属汚染が確認されています。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:そしてこっちはヘブライエルの倉庫状況報告です。設備の老化で浸水が確認されており、また修繕もしていないため、貯蔵している小麦が変質しているとの報告もあります。
()||<SE1>AVG_Button_Click</SE1><黑点1>:Px4ストームは次のスライドを映す。
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>271</BIN>:これはケレスパン工房が提供したパンの品質調査報告です。全部問題なしという結果になっています。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:しかしこっちの、第三者機関に依頼した品質調査報告によると、食料支援センターに提供したパンからは、規定値の数倍を越えた重金属成分が検出され提案す。
()<Speaker>Px4 ストーム</Speaker>||:ああ、第三者機関に品質調査を依頼したのは、ニーダ・ポーヴナさん本人ね。
()||<SE1>AVG_Button_Click</SE1><黑点1>:Px4ストームはさらに次のスライドを映す。
()<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>271</BIN>:そしてこれが、ケレスと街の食料支援センターの契約書です。全部で14か所があり、パンの提供はすべてケレスが行っています。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:そして街の貧困層を対象とした健康調査では、嘔吐、下痢、感覚障害などの症状の割合がかなり高いという結果が出ています。+これらの症状はすべて、重金属汚染によって引き起こされる症状と一致しています。
()<Speaker>Px4 ストーム</Speaker>||<黑点1>:つまり、食料支援センターのパンは、健康に大きな影響を与える可能性が非常に高いです。
()<Speaker>指揮官</Speaker>||<黑点2><BIN>85</BIN>:……
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:……
()||:会議室の中は沈黙した。
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||<黑点1>:それから、タブクとPM5の協力の下、先日のPx4ストームの行動も分かりました。
()<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>431</BIN>:まず、ケレスの元従業員ニーダ・ポーヴナ氏は、08番食料支援センターでPx4ストームと出会い、個人的な依頼を出し、Px4ストームはそれを引き受けた。
()||:スクリーンに、食料支援センターでPx4ストームとニーダが話している画面が映し出された。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:依頼の内容は分からないが、任務終了後、Px4ストームは何かの物資を購入して車をレンタルし、ポーヴナ氏と一緒に街を出た。
()||:雑貨店でのPx4ストームの購入記録も一緒に映し出された。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:街を出ておよそ200キロ移動した後、ケレスの追手がPx4ストームの車に追い付き、戦闘になった。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:最後はこの地点、Px4ストームはなにかしらの状況により現場から離脱することができないと判断し、メモリーカードをパーツの中に隠して、土に埋めたという流れになる。
()||:現場を三人で調べた時の写真がスクリーンに映し出された。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:交通監視カメラのデータを調べて、色々分かったこともあります。この黒いスーツの男はケレスのセキュリティー主任、名前はクリスです。+こっちもケレスの従業員だと思うが、名前は調べついてない。+そしてPx4ストームがレンタルした車を運転していたのは、この人形。現在、この車は街の外の空き地に捨てられています。
()||<黑点1>:3台の車に関する情報がスクリーンに映し出された。
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>85</BIN>:ニーダ・ポーヴナ氏の姿は確認されていないが、おそらく今クリスに監禁されているでしょう。+それともう一つ、面白う発見があった。
()||<黑点1>:指揮官が頷くと、Px4ストームは引き続き言う。
()<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>330</BIN><SE1>AVG_Button_Click</SE1>:街のネット掲示板の削除されたスレの中に、食料支援センターのパンを食べるな、といった旨のものがあった。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1>:またSNSにも、食料支援センターのパン配布を止めようとしたヤバいやつを見たの投稿も複数あった。
()<Speaker>Px4 ストーム</Speaker>||<SE1>AVG_Button_Click</SE1><黑点1>:それと、これがニーダ・ポーヴナ氏が自分のSNSアカウントで投稿した自分の写真――若くて元気な女性に見えるね。
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||<黑点2><BIN>85</BIN>:以上が、報告の内容です。
()||:会議室の中が静まり返る。+指揮官は少し考えて、口を開いた。
()<Speaker>指揮官</Speaker>||:ニーダ・ポーヴナ氏を助けに行くつもりか？
Px4StormMod(0)<Speaker>Px4 ストーム</Speaker>||:……
()<Speaker>指揮官</Speaker>||:ここだけの話だ、正直に言ってくれて構わないよ。
